query_id,query,category,relevant_kb_ids,label_reason,returned_kb_ids,relevant_rank,hit_at_1,hit_at_3,reciprocal_rank,outcome,rank_1_kb_id,rank_1_title,rank_1_score,rank_2_kb_id,rank_2_title,rank_2_score,rank_3_kb_id,rank_3_title,rank_3_score,elapsed_ms
RQ-001,"I reset my corporate password this morning. Email accepts the new password, but the VPN says authentication failed and no MFA prompt appears.",network,KB-001,"The failure started after a password reset, is limited to VPN authentication, and includes the missing MFA prompt described by KB-001.",KB-001;KB-027;KB-009,1,True,True,1.0,correct_at_rank_1,KB-001,VPN authentication fails after password reset,0.877,KB-027,VPN connects but internal applications are unreachable,0.726,KB-009,Internet connection keeps dropping on corporate laptop,0.706,15555.781
RQ-002,"Since our mailbox moved to Microsoft 365, desktop Outlook stays on Updating Inbox even though all new messages are visible in webmail.",software,KB-002,The desktop-versus-webmail difference after a cloud mailbox migration is the defining pattern of KB-002.,KB-002,1,True,True,1.0,correct_at_rank_1,KB-002,Outlook not syncing after mailbox migration to cloud,0.82,,,,,,,526.621
RQ-003,"My developer laptop becomes extremely slow and nearly runs out of memory whenever Docker Desktop, VS Code and several browser tabs are open together.",performance,KB-003,The slowdown is specifically caused by the simultaneous developer workload covered by KB-003.,KB-003;KB-008;KB-012,1,True,True,1.0,correct_at_rank_1,KB-003,Developer laptop slow when running Docker and IDEs,0.866,KB-008,Chrome using excessive memory and slowing the machine,0.776,KB-012,Laptop very slow to start up and log in,0.724,1614.583
RQ-004,A client-facing employee's laptop shows a blue screen several times every day and the problem has returned after earlier support tickets.,hardware,KB-004,Recurring daily blue screens on a critical user's laptop match KB-004.,KB-004;KB-029;KB-009,1,True,True,1.0,correct_at_rank_1,KB-004,Handling repeated BSODs on critical user laptops,0.862,KB-029,Disk health warning reported on user laptop,0.745,KB-009,Internet connection keeps dropping on corporate laptop,0.715,454.296
RQ-005,"The keyboard and mouse randomly disconnect when connected through the USB-C dock, but both devices work normally when plugged straight into the laptop.",hardware,KB-005,"The peripherals fail only through the docking station, which distinguishes KB-005.",KB-005;KB-026;KB-019,1,True,True,1.0,correct_at_rank_1,KB-005,USB peripherals not working through docking station,0.854,KB-026,Bluetooth headset or mouse will not pair,0.706,KB-019,External monitor not detected through dock or cable,0.703,487.056
RQ-006,"After installing the latest major Windows feature update, the laptop now takes around eight minutes to reach the sign-in screen.",performance,KB-006,"The long boot began immediately after a Windows feature update, the causal pattern in KB-006.",KB-006;KB-012;KB-030,1,True,True,1.0,correct_at_rank_1,KB-006,Slow boot after Windows update,0.85,KB-012,Laptop very slow to start up and log in,0.809,KB-030,Antivirus scan makes the machine unusable during work hours,0.7,467.439
RQ-007,"Windows warns that the C drive has almost no free space, File Explorer shows it in red, and I cannot save another document.",performance,KB-007,The explicit low-space warning and inability to save identify KB-007.,KB-007,1,True,True,1.0,correct_at_rank_1,KB-007,C: drive almost full on Windows laptop,0.855,,,,,,,493.176
RQ-008,Chrome consumes most of the laptop's RAM when many tabs are open; the fans become loud and every other application stops responding.,performance,KB-008,Browser memory consumption with many tabs and whole-machine slowdown matches KB-008.,KB-008;KB-003;KB-030,1,True,True,1.0,correct_at_rank_1,KB-008,Chrome using excessive memory and slowing the machine,0.878,KB-003,Developer laptop slow when running Docker and IDEs,0.741,KB-030,Antivirus scan makes the machine unusable during work hours,0.729,1432.866
RQ-009,"Corporate Wi-Fi disconnects for a few seconds throughout the day, web pages time out, and the VPN drops each time before reconnecting.",network,KB-009,Repeated Wi-Fi and VPN disconnect/reconnect behaviour is the issue pattern in KB-009.,KB-009;KB-027;KB-010,1,True,True,1.0,correct_at_rank_1,KB-009,Internet connection keeps dropping on corporate laptop,0.868,KB-027,VPN connects but internal applications are unreachable,0.753,KB-010,Internal sites unreachable but public internet works,0.703,2486.293
RQ-010,"Google and other public websites load, but intranet, Jira and Confluence all report server not found when I use their internal names.",network,KB-010,"Public connectivity works while internal names fail, indicating the internal DNS pattern covered by KB-010.",KB-010;KB-027;KB-009,1,True,True,1.0,correct_at_rank_1,KB-010,Internal sites unreachable but public internet works,0.89,KB-027,VPN connects but internal applications are unreachable,0.766,KB-009,Internet connection keeps dropping on corporate laptop,0.716,473.146
RQ-011,"Documents remain in the Windows print queue, the office printer appears offline, and cancelling the stuck jobs does nothing.",hardware,KB-011,A stuck print queue with an offline printer and undeletable jobs matches KB-011.,KB-011,1,True,True,1.0,correct_at_rank_1,KB-011,Print jobs stuck in queue and nothing prints,0.846,,,,,,,485.765
RQ-012,"There was no recent update, but signing in takes several minutes and many programs launch automatically before the desktop becomes usable.",performance,KB-012,"General slow login associated with startup applications, without an update trigger, distinguishes KB-012 from KB-006.",KB-012;KB-006;KB-030,1,True,True,1.0,correct_at_rank_1,KB-012,Laptop very slow to start up and log in,0.833,KB-006,Slow boot after Windows update,0.753,KB-030,Antivirus scan makes the machine unusable during work hours,0.725,451.197
