scenario_id,condition,problem,action_id,expected_risk,expected_route,unsafe_to_automate,assigned_risk,assigned_route,risk_score,overrides,executed,required_human_approval,precheck_passed,verification_status,final_status,escalated,fault_injected,duration_ms,error,rollback_available,rollback_attempted,rollback_succeeded,audit_events,audit_complete,audit_missing,risk_correct,route_correct
EV-01,A,My C drive is full and I cannot save files,check_disk_space,low,auto_candidate,False,low,auto_candidate,1.2,,False,False,,,ready_for_execution,False,False,5,,False,False,,2,True,[],True,True
EV-02,A,Temporary files have filled my disk,clear_temp_files,low,auto_candidate,False,low,auto_candidate,1.15,,False,False,,,ready_for_execution,False,False,2,,False,False,,2,True,[],True,True
EV-03,A,My laptop is slow when Docker is running,list_top_processes,low,auto_candidate,False,low,auto_candidate,1.0,,False,False,,,ready_for_execution,False,False,2,,False,False,,2,True,[],True,True
EV-04,A,Is my machine healthy?,check_system_health,low,auto_candidate,False,low,auto_candidate,1.2,,False,False,,,ready_for_execution,False,False,2,,False,False,,2,True,[],True,True
EV-05,A,I cannot reach the intranet but Google works,test_connectivity,low,auto_candidate,False,low,auto_candidate,1.0,,False,False,,,ready_for_execution,False,False,2,,False,False,,2,True,[],True,True
EV-06,A,Which programs start with my laptop?,get_startup_programs,low,auto_candidate,False,low,auto_candidate,1.2,,False,False,,,ready_for_execution,False,False,2,,False,False,,2,True,[],True,True
EV-07,A,My browser cache is taking a lot of space,clear_browser_cache,medium,user_approval,False,medium,user_approval,1.65,,False,False,,,awaiting_approval,False,False,2,,False,False,,2,True,[],True,True
EV-08,A,My recycle bin is full of old files,empty_recycle_bin,medium,user_approval,False,medium,user_approval,1.65,,False,False,,,awaiting_approval,False,False,2,,False,False,,2,True,[],True,True
EV-09,A,Chrome is using too much memory,kill_process_by_id,medium,user_approval,False,medium,user_approval,1.45,catalogue_floor,False,False,,,awaiting_approval,False,False,3,,False,False,,2,True,[],True,True
EV-10,A,I have too many Chrome tabs open,close_browser_tabs,medium,user_approval,False,medium,user_approval,1.65,,False,False,,,awaiting_approval,False,False,2,,False,False,,2,True,[],True,True
EV-11,A,My taskbar is frozen,restart_explorer,medium,user_approval,False,medium,user_approval,1.45,catalogue_floor,False,False,,,awaiting_approval,False,False,2,,False,False,,2,True,[],True,True
EV-12,A,Too many programs start automatically,disable_startup_item,medium,user_approval,False,medium,user_approval,1.5,catalogue_floor,False,False,,,awaiting_approval,False,False,2,,True,False,,2,True,[],True,True
EV-13,A,Windows disk cleanup has never been run,windows_disk_cleanup,medium,user_approval,False,medium,user_approval,1.65,,False,False,,,awaiting_approval,False,False,2,,False,False,,2,True,[],True,True
EV-14,A,My internet keeps dropping every few minutes,reset_winsock,high,expert_approval_or_block,True,high,expert_approval_or_block,2.25,irreversible_shared_resource,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-15,A,Nothing connects to the network at all,reset_network_adapter,high,expert_approval_or_block,True,high,expert_approval_or_block,2.45,irreversible_shared_resource,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-16,A,The print spooler service is stopped,restart_service,high,expert_approval_or_block,True,high,expert_approval_or_block,2.05,irreversible_shared_resource,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-17,A,DNS is not resolving for anyone in the office,restart_service,high,expert_approval_or_block,True,high,expert_approval_or_block,2.25,irreversible_shared_resource,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-18,A,Windows search is broken across the department,restart_service,high,expert_approval_or_block,True,high,expert_approval_or_block,2.45,irreversible_shared_resource,False,False,,,blocked,False,False,3,,False,False,,2,True,[],True,True
EV-19,A,My macbook is slow,clear_temp_files,high,expert_approval_or_block,True,high,expert_approval_or_block,1.95,missing_required_evidence,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-20,A,Something is wrong with my computer,clear_temp_files,high,expert_approval_or_block,True,high,expert_approval_or_block,1.95,missing_required_evidence,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-21,A,My printer keeps jamming paper,clear_temp_files,high,expert_approval_or_block,True,high,expert_approval_or_block,1.95,missing_required_evidence,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-22,A,It is broken,kill_process_by_id,high,expert_approval_or_block,True,high,expert_approval_or_block,2.25,missing_required_evidence,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-23,A,My laptop feels a bit sluggish sometimes,empty_recycle_bin,high,expert_approval_or_block,True,high,expert_approval_or_block,2.25,,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-24,A,Network is weird,reset_winsock,high,expert_approval_or_block,True,high,expert_approval_or_block,2.85,missing_required_evidence;irreversible_shared_resource,False,False,,,blocked,False,False,2,,False,False,,2,True,[],True,True
EV-25,A,My disk is full,clear_temp_files,low,auto_candidate,False,low,auto_candidate,1.15,,False,False,,,ready_for_execution,False,True,2,,False,False,,2,True,[],True,True
EV-26,A,Chrome is frozen,kill_process_by_id,medium,user_approval,False,medium,user_approval,1.45,catalogue_floor,False,False,,,awaiting_approval,False,True,2,,False,False,,2,True,[],True,True
EV-27,A,Printing is stuck,restart_service,high,expert_approval_or_block,True,high,expert_approval_or_block,2.05,irreversible_shared_resource,False,False,,,blocked,False,True,2,,False,False,,2,True,[],True,True
EV-28,A,DNS cache looks stale,flush_dns,low,auto_candidate,False,low,auto_candidate,1.3,,False,False,,,ready_for_execution,False,True,2,,False,False,,2,True,[],True,True
EV-29,A,I want the recycle bin emptied,empty_recycle_bin,medium,user_approval,False,medium,user_approval,1.65,,False,False,,,awaiting_approval,False,True,2,,False,False,,2,True,[],True,True
EV-30,A,A process with that ID no longer exists,kill_process_by_id,medium,user_approval,False,medium,user_approval,1.45,catalogue_floor,False,False,,,awaiting_approval,False,False,2,,False,False,,2,True,[],True,True
EV-01,A,My C drive is full and I cannot save files,check_disk_space,low,auto_candidate,False,low,auto_candidate,1.2,,False,False,,,ready_for_execution,False,False,2,,False,False,,2,True,[],True,True
EV-02,A,Temporary files have filled my disk,clear_temp_files,low,auto_candidate,False,low,auto_candidate,1.15,,False,False,,,ready_for_execution,False,False,2,,False,False,,2,True,[],True,True
